序号,页码,撒尼语读音(我方记法),汉文释义,义项数
1,1,pʰi+,念(念彝文经书),1
2,1,pʰi+,跳(狮子舞)；跳月；动,1
3,1,pʰi+ dʐi+ tʰo7,(词义截断，未显示),1
4,1,pʰi+ fA+,比方；譬如,1
5,1,pʰi+ fA+ dɤJ,举例,1
6,1,pʰi+ kʰA+,饼干,1
7,1,pʰi+ le+,动,1
8,1,pʰi+ lɤJ,比例,1
9,1,pʰi+ moJ,毕摩(彝族祭师，掌握彝文、传播彝文的人),1
10,1,pʰi+ mu+,念经(祭祀时念经),1
11,1,pʰi+ mɤ+ tʂ+,扭秧歌；舞蹈,1
12,1,pʰi+ pɛJ,冰棒；冰棍,1
13,1,pʰi+ pʰi+,步,1
14,1,pʰi+ tsi+,饼子,1
15,1,pʰi+ tʂ+,铃子,1
16,1,pʰi+ tʂ+ tʂ+,摇铃,1
17,1,pʰi7,盖；覆盖；关,1
18,1,pʰi7 lɿ7 pʰi7 lɤ+,果实累累,1
19,1,pʰi7 pe+,关上,1
20,1,pʰi7 tshiJ,盖住；关好,1
21,1,pʰi7 tu+,盖子(泛指),1
22,1,pʰi7 tʂ+,盖子(专指一种做饭用的盖子),1
23,2,pʰi+,粢(指汤里的粢),1
24,2,pʰi+ dɤJ,①可能；可以 ②胜任,2
25,2,pʰi+ kɯ7 no7 ŋɤJ,动物,1
26,2,pʰi+ mu+,①很 ②热烈,2
27,2,pʰi+ mu+ lu7 sɔ+,热烈欢迎；非常喜欢,1
28,2,pʰi+ mu+ neJ,很早,1
29,2,pʰi+ mu+ nɔ7,很多,1
30,2,pʰi+ mu+ ʂeJ,很少,1
31,2,pʰi+ pʰi+,非常,1
32,2,pʰi+ pʰi+ mu+,最,1
33,2,pʰi+ tʂ+,菜刀,1
34,2,pʰi+ tʂ+,食囊；膝囊(鸡、鸭等膝囊),1
35,2,pʰi7,①撒粪 ②代；辈(一代人；一辈人),2
36,2,pʰi7 be7,花边,1
37,2,pʰi7 lɿ7,唢呐,1
38,2,pʰi7 pʰi7 tʰo7 tʰo7,哭哭啼啼,1
39,2,pʰi7 pʰi7 ʑo7 ʑo7,哭哭啼啼(专指大人),1
40,2,pʰi7 tʂJ,倒霉,1
41,2,pʰi7 xɔ+,撒开；撒掉,1
42,2,pʰiJ,拉痢,1
43,2,pʰiJ mɤ+,笔墨,1
44,2,pʰiJ neJ,毕业,1
45,2,pʰiJ nɿJ duJ mo+,秃笔,1
46,2,pʰiJ o7,笔尖,1
47,2,pʰiJ pʰiJ ʐ?ɤJ ʐ?ɤJ,单单啥啥(拉痢或强行拖人时的象声词),1
48,2,pʰiJ tʂ+,逼死,1
49,2,pʰiJ xɔ+,淹,1
50,3,pe+,①合：合起来；合在一起 ②附带：沾水附带洗菜,2
51,3,pe+ dlɔ+ dɤJ,合得来,1
52,3,pe+ leJ,伴侣；伙伴；同志；朋友,1
53,3,pe+ leJ mu+,陪伴；做伴,1
54,3,pe+ leJ siJ,访友,1
55,3,pe+ leJ zɔJ,小伙伴,1
56,3,pe+ pe+,一块儿,1
57,3,pe+ tʂ+,参加,1
58,3,pe+ tʂiJ,本质,1
59,3,pe7 dlɔ+,变成,1
60,3,pe7 moJ ʐɤJ,不便,1
61,3,pe7 pe+ pʰi7,碎碗片,1
62,3,pe7 pe7,碗(童语),1
63,3,pe7 tʂhiJ,腐朽,1
64,3,pe7 xɔ+,褪色,1
65,3,pe7 ʐɤJ,方便,1
66,3,pe7·pê7,(两读),1
67,3,peJ,白(字头),1
68,3,peJ bɿ7,老百姓,1
69,3,peJ tɔ+,扁担,1
70,3,peJ tʂ+,别针,1
71,3,peJ tʂiJ,北京,1
72,3,peJ xɔJ kʰo+ si+,百货公司,1
73,3,pʰi+ kʰo7,驼背,1
74,3,pʰi+ lɔJ,背篓,1
75,3,pʰi+ tshiJ,胜；胜过(指摔跤时胜过对方),1
76,3,pʰiJ,比(赛)：我们两个来赛一赛,1
77,3,pʰiJ pe+,合并,1
78,3,pʰiJ pʰiJ tʰoJ tʰoJ,①秩序紊乱 ②声音嘈杂,2
79,3,pʰiJ tu+ mɔJ tʰo7,无与伦比,1
80,3,pʰiJ tɔ+ lɿ+,归纳,1
81,4,pA+,①次(量词)：打一次 ②个(字)：一个字,2
82,4,pA+,棒；棍,1
83,4,pA+ dʐA+ tʂi+ mɔ+,芭蕉芋,1
84,4,pA+ pʰɤ+,手杖；拐棍,1
85,4,pA+ tshɤ+,滴下来,1
86,4,pA+ tʰo+,翘起,1
87,4,pA+ vɤ+,把握,1
88,4,pA7,特地：我特地来看您,1
