record_id,source_id,page,col,seq,彝文,ipa_clean,ipa_raw,ipa_status,ipa_score,ipa_syl_count,直译,意译,rights,provenance,confidence
SANGJIAJING-P0014-L-01,SANGJIAJING,14,L,1,Z4 与 工,zɔ ⁴⁴ ni2 tsi³³ dle³³,ZO 44 ni²! ts133 dle33,suspect,0.67,3,你 长 二 十 满,长 至 二 十 岁,UNKNOWN,扫描 OCR + IPA 锚点版面解析（四行对照） | 整理日期 2026-09,medium
SANGJIAJING-P0014-L-02,SANGJIAJING,14,L,2,Z 九 70 每,si²¹ ng³³ tshi²¹ tshi³³ mu³³,si21 ng33 tshi21 tshi33 mu33,ok,0.80,5,别人 也 媳 做,世 人 娶 妻 龄,UNKNOWN,扫描 OCR + IPA 锚点版面解析（四行对照） | 整理日期 2026-09,medium
SANGJIAJING-P0014-R-01,SANGJIAJING,14,R,1,70 tQ 九 m,tshi²¹ tsh³³ hg³³ ne ³³ li⁰³,tshi21 tsh33 hg33 ne 33 1$03,suspect,0.60,5,娶 媳 房 也 有,成 家 房 造 好,UNKNOWN,扫描 OCR + IPA 锚点版面解析（四行对照） | 整理日期 2026-09,medium
SANGJIAJING-P0014-R-02,SANGJIAJING,14,R,2,ZZZ tQ 九,,tsiss he33 nu ne 1S03,failed,0.00,2,女 嫁 房 也 有,成 家 房 造 好,UNKNOWN,扫描 OCR + IPA 锚点版面解析（四行对照） | 整理日期 2026-09,medium
SANGJIAJING-P0014-R-03,SANGJIAJING,14,R,3,Az,qo²¹ mu³³ thu³¹,qo21 mu33 thu31,ok,1.00,3,耕 田 做 出 去,出 门 去 耕 田,UNKNOWN,扫描 OCR + IPA 锚点版面解析（四行对照） | 整理日期 2026-09,medium
SANGJIAJING-P0015-L-01,SANGJIAJING,15,L,1,子 Z 万,tɒ²¹ mu²¹ a³³ siss kh³³,"tp²1 mu21 A33 siss kh,33",ok,1.00,4,天 过 去 那 时,过 去 之 时 日,UNKNOWN,扫描 OCR + IPA 锚点版面解析（四行对照） | 整理日期 2026-09,medium
SANGJIAJING-P0015-L-02,SANGJIAJING,15,L,2,子 九 万 田,mu2 ne³³ khi³³ mp ²¹ sɒ³³,mu² ne33 kh133 mp 21 SD33,suspect,0.50,4,天 也 它 不 晴,上 天 不 放 晴,UNKNOWN,扫描 OCR + IPA 锚点版面解析（四行对照） | 整理日期 2026-09,medium
SANGJIAJING-P0015-L-03,SANGJIAJING,15,L,3,企 九 ：万 田,khi³³ ⁵⁵ mi ³³ ne³³ mɒ²¹ mw,kh133 55 mi 33 ne33 mD21 mw,suspect,0.67,6,地 也 它 不 暖,大 地 无 暖 意,UNKNOWN,扫描 OCR + IPA 锚点版面解析（四行对照） | 整理日期 2026-09,medium
SANGJIAJING-P0015-R-01,SANGJIAJING,15,R,1,万,khi³³ thu³³ i ³³ zi³³ si²¹ qɒ,kh133 thu3i 33 zi33 si21 qD,ok,1.00,6,那 样 走 出 啊,如 此 走 出 去,UNKNOWN,扫描 OCR + IPA 锚点版面解析（四行对照） | 整理日期 2026-09,medium
SANGJIAJING-P0015-R-02,SANGJIAJING,15,R,2,与 克 日,tsh³³ tsɒ h²¹ ²¹ li⁰³3,"tsh,33 ts""D° h21 21 1033",suspect,0.50,4,十 二 丘 大 处,十 二 大 地 里,UNKNOWN,扫描 OCR + IPA 锚点版面解析（四行对照） | 整理日期 2026-09,medium
SANGJIAJING-P0015-R-03,SANGJIAJING,15,R,3,里 来,,"niss p""ubu 12n6",failed,0.00,1,犁 头 盖 堆 犁,深 犁 土 翻 堆,UNKNOWN,扫描 OCR + IPA 锚点版面解析（四行对照） | 整理日期 2026-09,medium
